Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
2018,1,Jan,Friday,School Holiday Weekday,Bus (Metropolitan),268350
2018,1,Jan,Friday,School Holiday Weekday,Train (Metropolitan),570700
2018,1,Jan,Friday,School Holiday Weekday,Bus (Regional),21550
2018,1,Jan,Friday,School Holiday Weekday,Train (Regional),43700
2018,1,Jan,Friday,School Holiday Weekday,Tram,529250
2018,1,Jan,Monday,Normal Weekday,Bus (Metropolitan),308450
2018,1,Jan,Monday,Normal Weekday,Train (Metropolitan),638350
2018,1,Jan,Monday,Normal Weekday,Bus (Regional),22600
2018,1,Jan,Monday,Normal Weekday,Train (Regional),47700
2018,1,Jan,Monday,Normal Weekday,Tram,534800
2018,1,Jan,Monday,School Holiday Weekday,Bus (Metropolitan),298500
2018,1,Jan,Monday,School Holiday Weekday,Train (Metropolitan),636150
2018,1,Jan,Monday,School Holiday Weekday,Bus (Regional),23150
2018,1,Jan,Monday,School Holiday Weekday,Train (Regional),49650
2018,1,Jan,Monday,School Holiday Weekday,Tram,562150
2018,1,Jan,Saturday,Weekend,Bus (Metropolitan),154100
2018,1,Jan,Saturday,Weekend,Train (Metropolitan),333700
2018,1,Jan,Saturday,Weekend,Bus (Regional),13100
2018,1,Jan,Saturday,Weekend,Train (Regional),20600
2018,1,Jan,Saturday,Weekend,Tram,393050
2018,1,Jan,Sunday,Weekend,Bus (Metropolitan),105100
2018,1,Jan,Sunday,Weekend,Train (Metropolitan),249600
2018,1,Jan,Sunday,Weekend,Bus (Regional),8600
2018,1,Jan,Sunday,Weekend,Train (Regional),18350
2018,1,Jan,Sunday,Weekend,Tram,325900
2018,1,Jan,Thursday,School Holiday Weekday,Bus (Metropolitan),298100
2018,1,Jan,Thursday,School Holiday Weekday,Train (Metropolitan),617350
2018,1,Jan,Thursday,School Holiday Weekday,Bus (Regional),24400
2018,1,Jan,Thursday,School Holiday Weekday,Train (Regional),47450
2018,1,Jan,Thursday,School Holiday Weekday,Tram,563600
2018,1,Jan,Tuesday,Normal Weekday,Bus (Metropolitan),359800
2018,1,Jan,Tuesday,Normal Weekday,Train (Metropolitan),729400
2018,1,Jan,Tuesday,Normal Weekday,Bus (Regional),26950
2018,1,Jan,Tuesday,Normal Weekday,Train (Regional),52550
2018,1,Jan,Tuesday,Normal Weekday,Tram,610600
2018,1,Jan,Tuesday,School Holiday Weekday,Bus (Metropolitan),295500
2018,1,Jan,Tuesday,School Holiday Weekday,Train (Metropolitan),618050
2018,1,Jan,Tuesday,School Holiday Weekday,Bus (Regional),23300
2018,1,Jan,Tuesday,School Holiday Weekday,Train (Regional),48050
2018,1,Jan,Tuesday,School Holiday Weekday,Tram,558300
2018,1,Jan,Wednesday,Normal Weekday,Bus (Metropolitan),400250
2018,1,Jan,Wednesday,Normal Weekday,Train (Metropolitan),716600
2018,1,Jan,Wednesday,Normal Weekday,Bus (Regional),31300
2018,1,Jan,Wednesday,Normal Weekday,Train (Regional),48600
2018,1,Jan,Wednesday,Normal Weekday,Tram,611100
2018,1,Jan,Wednesday,School Holiday Weekday,Bus (Metropolitan),299950
2018,1,Jan,Wednesday,School Holiday Weekday,Train (Metropolitan),630400
2018,1,Jan,Wednesday,School Holiday Weekday,Bus (Regional),24400
2018,1,Jan,Wednesday,School Holiday Weekday,Train (Regional),48750
2018,1,Jan,Wednesday,School Holiday Weekday,Tram,570050
