mode,year,month,TT_delivered,ontime
Trains,2018,January,0.988,0.923
Trains,2018,February,0.988,0.918
Trains,2018,March,0.986,0.912
Trains,2018,April,0.99,0.932
Trains,2018,May,0.984,0.9
Trains,2018,June,0.991,0.926
Trains,2018,July,0.986,0.925
Trains,2018,August,0.985,0.916
Trains,2018,September,0.989,0.924
Trains,2018,October,0.985,0.914
Trains,2018,November,0.987,0.921
Trains,2018,December,0.984,0.924
Trains,2019,January,0.981,0.915
Trains,2019,February,0.985,0.908
Trains,2019,March,0.98,0.884
Trains,2019,April,0.983,0.914
Trains,2019,May,0.982,0.904
Trains,2019,June,0.984,0.883
Trains,2019,July,0.984,0.913
Trains,2019,August,0.981,0.899
Trains,2019,September,0.984,0.899
Trains,2019,October,0.985,0.903
Trains,2019,November,0.983,0.915
Trains,2019,December,0.982,0.908
Trains,2020,January,0.98,0.91
Trains,2020,February,0.986,0.903
Trains,2020,March,0.988,0.927
Trains,2020,April,0.99,0.962
Trains,2020,May,0.991,0.962
Trains,2020,June,0.99,0.957
Trains,2020,July,0.989,0.963
Trains,2020,August,0.983,0.962
Trains,2020,September,0.994,0.976
Trains,2020,October,0.994,0.971
Trains,2020,November,0.987,0.947
Trains,2020,December,0.987,0.953
Trains,2021,January,0.989,0.955
Trains,2021,February,0.982,0.951
Trains,2021,March,0.985,0.931
Trains,2021,April,0.99,0.935
Trains,2021,May,0.989,0.936
Trains,2021,June,0.989,0.949
Trains,2021,July,0.988,0.938
Trains,2021,August,0.99,0.957
Trains,2021,September,0.99,0.955
Trains,2021,October,0.971,0.957
Trains,2021,November,0.988,0.945
Trains,2021,December,0.972,0.924
Trains,2025,September,0.992,0.945
Trains,2025,August,0.992,0.944
Trains,2025,July,0.974,0.94
Trains,2025,June,0.991,0.945
Trains,2025,May,0.991,0.935
Trains,2025,April,0.99,0.944
Trains,2025,March,0.988,0.932
Trains,2025,February,0.989,0.938
Trains,2025,January,0.988,0.95
Trains,2024,December,0.984,0.925
Trains,2024,November,0.989,0.935
Trains,2024,October,0.988,0.934
Trains,2024,September,0.987,0.932
Trains,2024,August,0.989,0.929
Trains,2024,July,0.987,0.924
Trains,2024,June,0.99,0.937
Trains,2024,May,0.987,0.925
Trains,2024,April,0.989,0.919
Trains,2024,March,0.989,0.925
Trains,2024,February,0.984,0.921
Trains,2024,January,0.988,0.943
Trains,2023,December,0.989,0.932
Trains,2023,November,0.984,0.936
Trains,2023,October,0.989,0.941
Trains,2023,September,0.988,0.927
Trains,2023,August,0.986,0.92
Trains,2023,July,0.987,0.935
Trains,2023,June,0.991,0.933
Trains,2023,May,0.988,0.913
Trains,2023,April,0.989,0.933
Trains,2023,March,0.986,0.921
Trains,2023,February,0.987,0.919
Trains,2023,January,0.99,0.939
Trains,2022,December,0.982,0.914
Trains,2022,November,0.984,0.925
Trains,2022,October,0.984,0.922
Trains,2022,September,0.987,0.924
Trains,2022,August,0.988,0.929
Trains,2022,July,0.98,0.916
Trains,2022,June,0.983,0.931
Trains,2022,May,0.985,0.939
Trains,2022,April,0.98,0.937
Trains,2022,March,0.975,0.934
Trains,2022,February,0.98,0.942
Trains,2022,January,0.968,0.943
Buses,2024,June,,0.905
Buses,2024,May,,0.877
Buses,2024,April,,0.901
Buses,2024,March,,0.874
Buses,2024,February,,0.868
Buses,2024,January,,0.936
Buses,2023,December,,0.905
Buses,2023,November,,0.89
Buses,2023,October,,0.889
Buses,2023,September,,0.914
Buses,2023,August,,0.902
Buses,2023,July,,0.908
Buses,2023,June,,0.912
Buses,2023,May,,0.896
Buses,2023,April,,0.91
Buses,2023,March,,0.884
Buses,2023,February,,0.889
Buses,2023,January,,0.94
Buses,2022,December,,0.917
Buses,2022,November,,0.907
Buses,2022,October,,0.91
Buses,2022,September,,0.924
Buses,2022,August,,0.92
Buses,2022,July,,0.931
Buses,2022,June,,0.931
Buses,2022,May,,0.921
Buses,2022,April,,0.929
Buses,2022,March,,0.918
Buses,2022,February,,0.914
Buses,2022,January,,0.943
Buses,2021,December,,0.918
Buses,2021,November,,0.916
Buses,2021,October,,0.947
Buses,2021,September,,0.958
Buses,2021,August,,0.953
Buses,2021,July,,0.936
Buses,2021,June,,0.936
Buses,2021,May,,0.907
Buses,2021,April,,0.918
Buses,2021,March,,0.913
Buses,2021,February,,0.913
Buses,2021,January,,0.942
Buses,2020,December,,0.924
Buses,2020,November,,0.923
Buses,2020,October,,0.947
Buses,2020,September,,0.957
Buses,2020,August,,0.955
Buses,2020,July,,0.949
Buses,2020,June,,0.928
Buses,2020,May,,0.944
Buses,2020,April,,0.943
Buses,2020,March,,0.898
Buses,2020,February,,0.859
Buses,2020,January,,0.915
Buses,2019,December,,0.884
Buses,2019,November,,0.858
Buses,2019,October,,0.862
Buses,2019,September,,0.882
Buses,2019,August,,0.872
Buses,2019,July,,0.884
Buses,2019,June,,0.871
Buses,2019,May,,0.846
Buses,2019,April,,0.87
Buses,2019,March,,0.841
Buses,2019,February,,0.849
Buses,2019,January,,0.899
Buses,2018,December,,0.87
Buses,2018,November,,0.857
Buses,2018,October,,0.866
Buses,2018,September,,0.875
Buses,2018,August,,0.865
Buses,2018,July,,0.876
Buses,2018,June,,0.859
Buses,2018,May,,0.838
Buses,2018,April,,0.843
Buses,2018,March,,0.816
Buses,2018,February,,0.824
Buses,2018,January,,0.891
