mode,year,TT_delivered,ontime,,,,,,,,,,
train,2018,0.987,0.919,,,,,,,,,,
train,2019,0.983,0.904,,,,,,,,,,
train,2020,0.988,0.95,,,,,,,,,,
train,2021,0.985,0.944,,,,,,,,,,
train,2025,0.988,0.941,,,,,,,,,,
train,2024,0.988,0.929,,,,,,,,,,
train,2023,0.988,0.929,,,,,,,,,,
train,2022,0.981,0.93,,,,,,,,,,
tram,2018,0.987,0.835,,,,,,,,,,
tram,2019,0.981,0.827,,,,,,,,,,
tram,2020,0.983,0.915,,,,,,,,,,
tram,2021,0.984,0.913,,,,,,,,,,
tram,2024,0.986,0.818,,,,,,,,,,
tram,2023,0.984,0.807,,,,,,,,,,
tram,2022,0.985,0.857,,,,,,,,,,
regional_train,2018,0.962,0.847,,,,,,,,,,
regional_train,2019,0.962,0.871,,,,,,,,,,
regional_train,2020,0.959,0.925,,,,,,,,,,
regional_train,2021,0.928,0.93,,,,,,,,,,
regional_train,2025,0.974,0.883,,,,,,,,,,
regional_train,2024,0.974,0.881,,,,,,,,,,
regional_train,2023,0.966,0.879,,,,,,,,,,
regional_train,2022,0.956,0.909,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
