level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1430	535	-1	
2	1	1	0	0	0	8	5	100	523	-1	
3	1	1	1	0	0	8	5	100	523	-1	
4	1	1	1	1	0	22	5	33	17	-1	
5	1	1	1	1	1	22	5	33	17	96.707214	May
4	1	1	1	2	0	21	29	36	13	-1	
5	1	1	1	2	1	21	29	36	13	96.890419	June
4	1	1	1	3	0	21	52	30	18	-1	
5	1	1	1	3	1	21	52	30	18	96.573761	July
4	1	1	1	4	0	21	77	56	17	-1	
5	1	1	1	4	1	21	77	56	17	95.158936	August
4	1	1	1	5	0	22	101	86	18	-1	
5	1	1	1	5	1	22	101	86	18	95.890022	September
4	1	1	1	6	0	22	125	64	14	-1	
5	1	1	1	6	1	22	125	64	14	96.872078	October
4	1	1	1	7	0	22	150	83	14	-1	
5	1	1	1	7	1	22	150	83	14	96.210815	November
4	1	1	1	8	0	22	173	81	14	-1	
5	1	1	1	8	1	22	173	81	14	96.302345	December
4	1	1	1	9	0	8	199	38	13	-1	
5	1	1	1	9	1	8	199	38	13	96.993530	2021
4	1	1	1	10	0	21	223	60	17	-1	
5	1	1	1	10	1	21	223	60	17	96.673355	January
4	1	1	1	11	0	22	247	68	18	-1	
5	1	1	1	11	1	22	247	68	18	96.955643	February
4	1	1	1	12	0	22	271	48	14	-1	
5	1	1	1	12	1	22	271	48	14	93.106339	March
4	1	1	1	13	0	21	295	36	18	-1	
5	1	1	1	13	1	21	295	36	18	94.196800	April
4	1	1	1	14	0	22	320	33	17	-1	
5	1	1	1	14	1	22	320	33	17	96.977814	May
4	1	1	1	15	0	21	345	36	13	-1	
5	1	1	1	15	1	21	345	36	13	96.915581	June
4	1	1	1	16	0	21	368	30	18	-1	
5	1	1	1	16	1	21	368	30	18	96.573761	July
4	1	1	1	17	0	21	394	56	17	-1	
5	1	1	1	17	1	21	394	56	17	95.068535	August
4	1	1	1	18	0	22	416	86	18	-1	
5	1	1	1	18	1	22	416	86	18	96.493568	September
4	1	1	1	19	0	22	441	64	14	-1	
5	1	1	1	19	1	22	441	64	14	96.895889	October
4	1	1	1	20	0	22	465	83	14	-1	
5	1	1	1	20	1	22	465	83	14	96.460533	November
4	1	1	1	21	0	22	490	81	14	-1	
5	1	1	1	21	1	22	490	81	14	96.246254	December
4	1	1	1	22	0	8	514	40	14	-1	
5	1	1	1	22	1	8	514	40	14	96.985252	Total
2	1	2	0	0	0	150	5	51	523	-1	
3	1	2	1	0	0	150	5	51	523	-1	
4	1	2	1	1	0	154	5	47	13	-1	
