SAL_CODE21,Pax_annual,SAL_CODE21_RAW,Population,passengers_per_capita
20002,1147200,SAL20002,9088,126.2324
20021,413900,SAL20021,4334,95.5007
20034,249100,SAL20034,5702,43.6864
20035,492700,SAL20035,11490,42.8808
20066,887500,SAL20066,9368,94.7374
20075,491400,SAL20075,15197,32.3353
20077,298150,SAL20077,7952,37.4937
20079,169500,SAL20079,7285,23.267
20105,752350,SAL20105,5392,139.5308
20169,2500,SAL20169,2166,1.1542
20173,446150,SAL20173,12262,36.3848
20175,199950,SAL20175,7267,27.5148
20188,283100,SAL20188,3894,72.7016
20214,873550,SAL20214,17921,48.7445
20224,1008200,SAL20224,50298,20.0445
20248,8800,SAL20248,4276,2.058
20252,1523850,SAL20252,14478,105.2528
20278,141600,SAL20278,6855,20.6565
20304,462850,SAL20304,23607,19.6065
20314,2648350,SAL20314,14353,184.5154
20337,1726950,SAL20337,23252,74.271
20346,878300,SAL20346,12524,70.1294
20361,1111050,SAL20361,24896,44.6277
20418,881250,SAL20418,794,1109.8866
20453,1801500,SAL20453,21965,82.0168
20468,268450,SAL20468,7800,34.4167
20498,1015400,SAL20498,17909,56.6977
20507,343700,SAL20507,4239,81.0804
20522,3205100,SAL20522,1293,2478.809
20537,352250,SAL20537,8347,42.2008
20539,1196500,SAL20539,23992,49.8708
20569,1514000,SAL20569,18988,79.7346
20570,634250,SAL20570,13381,47.3993
20574,719300,SAL20574,6606,108.8859
20596,784350,SAL20596,26574,29.5157
20597,512850,SAL20597,8327,61.5888
20624,545650,SAL20624,3193,170.8894
20661,1508250,SAL20661,65178,23.1405
20662,1054250,SAL20662,21281,49.5395
20670,575900,SAL20670,2158,266.8675
20674,18250,SAL20674,3343,5.4592
20682,447350,SAL20682,28608,15.6372
20707,1970750,SAL20707,30127,65.4147
20752,114700,SAL20752,12503,9.1738
20754,165600,SAL20754,5669,29.2115
20766,14696050,SAL20766,15495,948.4382
20825,126500,SAL20825,3960,31.9444
20830,1060400,SAL20830,4896,216.585
20848,201450,SAL20848,6276,32.0985
20864,763550,SAL20864,10887,70.1341
20865,344100,SAL20865,18847,18.2575
20878,748150,SAL20878,33489,22.3402
20885,1923450,SAL20885,21240,90.5579
20901,437700,SAL20901,6535,66.9778
20909,232350,SAL20909,14274,16.2778
20917,337700,SAL20917,27398,12.3257
20925,123150,SAL20925,12781,9.6354
20929,861100,SAL20929,7025,122.5765
20935,5087300,SAL20935,17131,296.9646
20947,1040950,SAL20947,37331,27.8843
21009,641550,SAL21009,4905,130.7951
21010,881950,SAL21010,26131,33.7511
21013,1907800,SAL21013,42642,44.7399
21047,954050,SAL21047,23792,40.0996
21104,378250,SAL21104,21070,17.9521
21124,146600,SAL21124,6269,23.3849
21125,521500,SAL21125,11355,45.9269
21131,482700,SAL21131,13518,35.7079
21145,10850,SAL21145,10369,1.0464
21152,2510050,SAL21152,22322,112.4474
21153,650000,SAL21153,14834,43.8183
21165,199600,SAL21165,9933,20.0946
21167,822300,SAL21167,7360,111.7255
21185,410950,SAL21185,12016,34.2002
21203,925850,SAL21203,37216,24.8777
21214,555350,SAL21214,7563,73.4299
21223,75700,SAL21223,3554,21.2999
21246,730050,SAL21246,13374,54.5873
21327,421500,SAL21327,10745,39.2275
21393,233000,SAL21393,842,276.7221
21452,494550,SAL21452,23219,21.2994
21476,1141100,SAL21476,4760,239.7269
21504,512300,SAL21504,17348,29.5308
21555,985200,SAL21555,8926,110.3742
21564,314850,SAL21564,9892,31.8288
21586,1156800,SAL21586,9929,116.5072
21587,979550,SAL21587,22296,43.9339
21629,369950,SAL21629,6878,53.7874
21640,41300050,SAL21640,54941,751.7164
21648,583650,SAL21648,13197,44.226
21659,662700,SAL21659,23369,28.3581
21683,569650,SAL21683,28712,19.8401
21706,1374250,SAL21706,16795,81.8249
21735,175700,SAL21735,9250,18.9946
21742,782550,SAL21742,16224,48.2341
21746,520000,SAL21746,6287,82.7104
21755,569250,SAL21755,23059,24.6867
21760,529850,SAL21760,8886,59.6275
21816,1047200,SAL21816,35340,29.6321
21849,712400,SAL21849,9996,71.2685
21893,522200,SAL21893,27689,18.8595
21934,1517550,SAL21934,13658,111.1107
21952,1724950,SAL21952,32257,53.4752
21966,577150,SAL21966,14953,38.5976
